Exchdt	Rmbusd
2017-12-18	6.616200
2017-12-15	6.611300
2017-12-14	6.603300
2017-12-13	6.625100
2017-12-12	6.616200
2017-12-11	6.615200
2017-12-08	6.621800
2017-12-07	6.619500
2017-12-06	6.616300
2017-12-05	6.611300
2017-12-04	6.610500
2017-12-01	6.606700
2017-11-30	6.603400
2017-11-29	6.601100
2017-11-28	6.594400
2017-11-27	6.587400
2017-11-24	6.581000
2017-11-23	6.602100
2017-11-22	6.629000
2017-11-21	6.635600
2017-11-20	6.627100
2017-11-17	6.627700
2017-11-16	6.628600
2017-11-15	6.626300
2017-11-14	6.639900
2017-11-13	6.634700
2017-11-10	6.628200
2017-11-09	6.632500
2017-11-08	6.627700
2017-11-07	6.621600
2017-11-06	6.624700
2017-11-03	6.607200
2017-11-02	6.619600
2017-11-01	6.630000
2017-10-31	6.639700
2017-10-30	6.648700
2017-10-27	6.647300
2017-10-26	6.628800
2017-10-25	6.632200
2017-10-24	6.626800
2017-10-23	6.620500
2017-10-20	6.609200
2017-10-19	6.609300
2017-10-18	6.599100
2017-10-17	6.588300
2017-10-16	6.583900
2017-10-13	6.586600
2017-10-12	6.580800
2017-10-11	6.584100
2017-10-10	6.627300
2017-10-09	6.649300
2017-09-29	6.636900
2017-09-28	6.628500
2017-09-27	6.619200
2017-09-26	6.607600
2017-09-25	6.594500
2017-09-22	6.586100
2017-09-21	6.586700
2017-09-20	6.567000
2017-09-19	6.553000
2017-09-18	6.541900
2017-09-15	6.542300
2017-09-14	6.546500
2017-09-13	6.538200
2017-09-12	6.527700
2017-09-11	6.499700
2017-09-08	6.503200
2017-09-07	6.526900
2017-09-06	6.531100
2017-09-05	6.537000
2017-09-04	6.566800
2017-09-01	6.590900
2017-08-31	6.601000
2017-08-30	6.610200
2017-08-29	6.629300
2017-08-28	6.635300
2017-08-25	6.657900
2017-08-24	6.652500
2017-08-23	6.663300
2017-08-22	6.659700
2017-08-21	6.670900
2017-08-18	6.674400
2017-08-17	6.670900
2017-08-16	6.677900
2017-08-15	6.668900
2017-08-14	6.660100
2017-08-11	6.664200
2017-08-10	6.677000
2017-08-09	6.707500
2017-08-08	6.718400
2017-08-07	6.722800
2017-08-04	6.713200
2017-08-03	6.721100
2017-08-02	6.720500
2017-08-01	6.714800
2017-07-31	6.728300
2017-07-28	6.737300
2017-07-27	6.730700
2017-07-26	6.752900
2017-07-25	6.748500
2017-07-24	6.741000
2017-07-21	6.741500
2017-07-20	6.746400
2017-07-19	6.745100
2017-07-18	6.761100
2017-07-17	6.756200
2017-07-14	6.777400
2017-07-13	6.780200
2017-07-12	6.786800
2017-07-11	6.798300
2017-07-10	6.796400
2017-07-07	6.791400
2017-07-06	6.795300
2017-07-05	6.792200
2017-07-04	6.788900
2017-07-03	6.777200
2017-06-30	6.774400
2017-06-29	6.794000
2017-06-28	6.805300
2017-06-27	6.829200
2017-06-26	6.822000
2017-06-23	6.823800
2017-06-22	6.819700
2017-06-21	6.819300
2017-06-20	6.809600
2017-06-19	6.797200
2017-06-16	6.799500
2017-06-15	6.785200
2017-06-14	6.793900
2017-06-13	6.795400
2017-06-12	6.794800
2017-06-09	6.797100
2017-06-08	6.793000
2017-06-07	6.785800
2017-06-06	6.793400
2017-06-05	6.793500
2017-06-02	6.807000
2017-06-01	6.809000
2017-05-31	6.863300
2017-05-26	6.869800
2017-05-25	6.869500
2017-05-24	6.875800
2017-05-23	6.866100
2017-05-22	6.867300
2017-05-19	6.878600
2017-05-18	6.861200
2017-05-17	6.863500
2017-05-16	6.879000
2017-05-15	6.885200
2017-05-12	6.894800
2017-05-11	6.905100
2017-05-10	6.906600
2017-05-09	6.903700
2017-05-08	6.894700
2017-05-05	6.888400
2017-05-04	6.895700
2017-05-03	6.889200
2017-05-02	6.895600
2017-04-28	6.893100
2017-04-27	6.889600
2017-04-26	6.886200
2017-04-25	6.883300
2017-04-24	6.867300
2017-04-21	6.882300
2017-04-20	6.879200
2017-04-19	6.866400
2017-04-18	6.884900
2017-04-17	6.878500
2017-04-14	6.874000
2017-04-13	6.865100
2017-04-12	6.894000
2017-04-11	6.895700
2017-04-10	6.904200
2017-04-07	6.894900
2017-04-06	6.893000
2017-04-05	6.890600
2017-03-31	6.899300
2017-03-30	6.888900
2017-03-29	6.891500
2017-03-28	6.878200
2017-03-27	6.870100
2017-03-24	6.884500
2017-03-23	6.885600
2017-03-22	6.888900
2017-03-21	6.907100
2017-03-20	6.899800
2017-03-17	6.887300
2017-03-16	6.886200
2017-03-15	6.911500
2017-03-14	6.911800
2017-03-13	6.898800
2017-03-10	6.912300
2017-03-09	6.912500
2017-03-08	6.903200
2017-03-07	6.895700
2017-03-06	6.879000
2017-03-03	6.889600
2017-03-02	6.880900
2017-03-01	6.879800
2017-02-28	6.875000
2017-02-27	6.881400
2017-02-24	6.865500
2017-02-23	6.869500
2017-02-22	6.883000
2017-02-21	6.879000
2017-02-20	6.874300
2017-02-17	6.845600
2017-02-16	6.862900
2017-02-15	6.863200
2017-02-14	6.880600
2017-02-13	6.889800
2017-02-10	6.881900
2017-02-09	6.871000
2017-02-08	6.884900
2017-02-07	6.860400
2017-02-06	6.860600
2017-02-03	6.855600
2017-01-26	6.858800
2017-01-25	6.859600
2017-01-24	6.833100
2017-01-23	6.857200
2017-01-20	6.869300
2017-01-19	6.856800
2017-01-18	6.852500
2017-01-17	6.899200
2017-01-16	6.887400
2017-01-13	6.890900
2017-01-12	6.914100
2017-01-11	6.923500
2017-01-10	6.923400
2017-01-09	6.926200
2017-01-06	6.866800
2017-01-05	6.930700
2017-01-04	6.952600
2017-01-03	6.949800
